Data Log

TimeStamp,Voltage,Current,Temperature
2023-04-04 16:31:36.350,19571,492,26.3
2023-04-04 16:31:37.977,19571,492,26.3
2023-04-04 16:31:40.349,19572,492,26.3
2023-04-04 16:31:41.990,19573,492,26.3
2023-04-04 16:31:44.365,19573,491,26.3
2023-04-04 16:31:46.010,19573,491,26.3
2023-04-04 16:31:48.382,19574,491,26.3
2023-04-04 16:31:50.025,19574,492,26.3
2023-04-04 16:31:52.379,19575,492,26.3
2023-04-04 16:31:54.041,19576,491,26.3
2023-04-04 16:31:56.380,19577,491,26.3
2023-04-04 16:31:58.055,19576,492,26.3
2023-04-04 16:32:00.396,19578,492,26.3
2023-04-04 16:32:02.081,19577,491,26.3
2023-04-04 16:32:04.398,19577,491,26.3
2023-04-04 16:32:06.097,19578,491,26.3
2023-04-04 16:32:08.428,19579,492,26.2
2023-04-04 16:32:10.118,19579,492,26.3
2023-04-04 16:32:12.426,19579,491,26.3
2023-04-04 16:32:14.139,19580,491,26.3
2023-04-04 16:32:16.428,19580,491,26.3
2023-04-04 16:32:18.159,19581,492,26.3
2023-04-04 16:32:20.444,19581,492,26.3
2023-04-04 16:32:22.166,19582,491,26.3
2023-04-04 16:32:24.458,19582,492,26.3
2023-04-04 16:32:26.187,19583,492,26.3
2023-04-04 16:32:28.457,19583,492,26.3
2023-04-04 16:32:30.208,19583,491,26.3
2023-04-04 16:32:32.504,19584,491,26.3
2023-04-04 16:32:34.231,19584,492,26.3
2023-04-04 16:32:36.535,19585,491,26.3
2023-04-04 16:32:38.246,19586,491,26.3
2023-04-04 16:32:40.505,19586,492,26.3
2023-04-04 16:32:42.260,19586,491,26.3
2023-04-04 16:32:44.504,19587,492,26.3
2023-04-04 16:32:46.278,19587,492,26.3
2023-04-04 16:32:48.526,19587,492,26.3
2023-04-04 16:32:50.291,19588,491,26.3
2023-04-04 16:32:52.520,19588,492,26.3
2023-04-04 16:32:54.305,19589,492,26.3
2023-04-04 16:32:56.523,19589,491,26.3
2023-04-04 16:32:58.317,19590,492,26.3
2023-04-04 16:33:00.541,19590,491,26.2
2023-04-04 16:33:02.337,19590,492,26.2
2023-04-04 16:33:04.553,19590,491,26.2
2023-04-04 16:33:06.345,19591,492,26.3
2023-04-04 16:33:08.557,19592,492,26.3
2023-04-04 16:33:10.356,19592,491,26.3
2023-04-04 16:33:12.570,19592,491,26.3
2023-04-04 16:33:14.371,19593,492,26.3
2023-04-04 16:33:16.583,19594,491,26.3
2023-04-04 16:33:18.386,19593,492,26.3
2023-04-04 16:33:20.584,19594,491,26.3
2023-04-04 16:33:22.405,19594,491,26.3
2023-04-04 16:33:24.588,19595,491,26.3
2023-04-04 16:33:26.418,19595,491,26.2
2023-04-04 16:33:28.603,19596,491,26.2
2023-04-04 16:33:30.431,19596,491,26.3
2023-04-04 16:33:32.614,19597,492,26.3
2023-04-04 16:33:34.454,19597,491,26.3
2023-04-04 16:33:36.615,19597,491,26.3
2023-04-04 16:33:38.477,19598,492,26.3
2023-04-04 16:33:40.631,19598,492,26.3
2023-04-04 16:33:42.492,19598,491,26.2
2023-04-04 16:33:44.632,19599,491,26.3
2023-04-04 16:33:46.504,19599,491,26.3
2023-04-04 16:33:48.662,19600,492,26.2
2023-04-04 16:33:50.506,19600,492,26.2
2023-04-04 16:33:52.661,19601,492,26.3
2023-04-04 16:33:54.528,19600,491,26.2
2023-04-04 16:33:56.677,19601,492,26.3
2023-04-04 16:33:58.545,19601,492,26.3
2023-04-04 16:34:00.676,19601,492,26.2
2023-04-04 16:34:02.559,19602,492,26.2
